FID,the_geom,fid,country,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8,estimate_9
global_power_plants_renewable.2241,POINT (-80.3607 42.855),2241,Canada,13th Side Road,CAN0007595,9.5,42.855,-80.3607,Solar,,,,0,Skypower Ltd / Sunedison,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,62914,2013,0,0,0,0,0,0,0,,12.98,13.15,13.77,14.21,13.75,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2246,POINT (-81.7068 42.9877),2246,Canada,Adelaide,CAN0007600,59.9,42.9877,-81.7068,Wind,,,,0,Kerwood Wind  LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,65418,2016,0,0,0,0,0,0,0,,0,0,0,0,138.96,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2247,POINT (-81.7392 43.0184),2247,Canada,Adelaide (Suncor),CAN0007601,40,43.0184,-81.7392,Wind,,,,0,Suncor Adelaide Wind LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,68914,2016,0,0,0,0,0,0,0,,0,0,0,0,92.8,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2248,POINT (-81.6708 42.9585),2248,Canada,Adelaide 1,CAN0007602,10,42.9585,-81.6708,Solar,,,,0,Met Fiera Solar Adelaide 1 LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2017,0,0,0,0,0,0,0,,13.76,14.01,14.07,14.71,14.3,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2254,POINT (-78.0946 44.1939),2254,Canada,Alderville 3,CAN0007607,5,44.1939,-78.0946,Solar,,,,0,Alderville Solar LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2017,0,0,0,0,0,0,0,,7.14,7.43,7.13,7.97,6.98,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2268,POINT (-79.8493 44.629),2268,Canada,Aria,CAN0007621,9,44.629,-79.8493,Solar,,,,0,Concord Aria Partnership,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,67202,2017,0,0,0,0,0,0,0,,11.93,13.72,13.15,12.88,11.67,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
global_power_plants_renewable.2269,POINT (-81.4574 44.2044),2269,Canada,Armow,CAN0002098,180,44.2044,-81.4574,Wind,,,,0,Sp Armow Wind Ontario LP,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,64545,2016,0,0,0,0,0,0,0,,0,0,0,0,417.6,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2274,POINT (-80.5152 43.8478),2274,Canada,Arthur,CAN0007627,10,43.8478,-80.5152,Wind,,,,0,Arthur Wind Farm Ltd Partnership,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2016,0,0,0,0,0,0,0,,0,0,0,0,23.2,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.2280,POINT (-78.314 44.3235),2280,Canada,Auburn,CAN0007633,2,44.3235,-78.314,Hydro,,,,0,,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,28956,2017,0,0,0,0,0,0,0,,10.31,9.08,8.9,9.54,8.31,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
global_power_plants_renewable.2289,POINT (-78.7587 44.651),2289,Canada,Balsam Lake,CAN0007640,3,44.651,-78.7587,Solar,,,,0,Balsam Lake LP,Natural Resources Canada,ftp://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsRenewGE1MW_NorthAmerica_201708.xlsx,Natural Resources Canada,69513,2017,0,0,0,0,0,0,0,,4.04,4.56,4.54,4.15,3.77,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
